职位,薪资,公司,公司信息,公司地址,地区,工作经验,学历,人数,时间,岗位信息
['大数据开发工程师'],['0.8-1.5万/月'],['安徽之达大数据研究院有限公司'],['民营公司| 150-500人| 计算机服务(系统、数据服务、维修) 计算机软件'],['上班地址 : 合肥市包河区兰州路88号安徽青年电子商务产业园A、B座9层'],['合肥-包河区'],['1年工作经验'],['大专'],['3人'],['2019-02-22'],岗位职责：1、负责大数据应用平台底层框架的整体架构设计，分析和结合公司实际业务情况进行技术选型及大数据战略规划； 2、搭建分布式的海量数据处理平台，提取关键特征，建立数据模型，提升数据质量； 3、支撑大数据系统运行，建立数据分析/数据挖掘模型，指导产品日常运营； 4、负责架构优化及系统关键模块的设计，协助解决技术难题； 5、负责新技术的调研，推广与应用。岗位要求：1、计算机、电子、自动化等理工科专业背景，专科及以上学历2、掌握Java或Python，同时至少掌握C/C++中一种开发语言3、算法基础扎实，熟悉常见的数据结构，深入理解分布式算法和以上提到的分布式系统； 4、有较强的学习能力、沟通协调能力，责任心强；具备良好的职业素养及团队合作精神。晋升机制：大数据开发工程师—项目经理—项目总监
['大数据开发工程师'],['1-2.5万/月'],['上海高重信息科技有限公司'],['民营公司| 50-150人| 计算机软件 计算机服务(系统、数据服务、维修)'],['上班地址 : 滨湖区太湖新城金融一街平安财富中心1005室'],['无锡-滨湖区'],['3-4年工作经验'],['本科'],['3人'],['2019-02-22'],工作职责：1、图像数据快速存储及检索的开发和优化；2、大数据平台的设计和构建职位要求：1、本科及以上学历，计算机、数学等相关专业；2、至少能熟练运用C、C++、Java等一种编程语言；3、有大数据研发经验，有faiss、elasticsearch、spark、openstack、redis、kafka等经验者优先；4、有大数据架构设计经验者优先；5、责任心强，有团队合作精神，乐于接受挑战
['大数据开发工程师（久其智通）'],['1-1.5万/月'],['北京久其软件股份有限公司'],['上市公司| 1000-5000人| 计算机软件'],['上班地址 : 北京市西直门国英一号楼'],['北京-西城区'],['本科'],[],['1人'],['2019-02-22'],岗位描述：1.负责大数据产品模块设计及开发，撰写技术文档。 岗位要求：1、本科及以上学历，计算机或相关专业；2、精通Java/Python/SQL/SHELL等常用语言，3、对数据结构和算法设计有较为深刻的理解；4、对hadoop、hive、spark等工具和平台有较丰富的实践经验5、工作积极主动，学习能力强和抗压能力有一定要求；6、有1~3年的相关工作经验 加分项：1、熟悉Go、Scala语言开发者优先；2、有分布式、高并发开发经验者优先；                                                        3、热衷开源技术，在github等开源平台上有代码贡献者优先；
['大数据开发工程师'],['1-1.5万/月'],['上海爱数信息技术股份有限公司'],['民营公司| 500-1000人| 计算机软件 计算机服务(系统、数据服务、维修)'],['上班地址 : 长沙市高新区麓谷大道627号长海创业基地B1栋6楼西侧爱数'],['长沙-岳麓区'],['无工作经验'],['硕士'],['5人'],['2019-02-22'],岗位职责：负责数据提取、清理分析工作；负责大数据挖掘分析算法以及功能的实现任职要求：1、硕士或以上学历，数据科学（数据仓库、数据挖掘、机器学习）或相关方向，热爱人工智能，对技术有狂热的追求；2、具有扎实的数据科学和数学的基础知识，有相关算法的实现经验；3、熟悉C++/JAVA、Python、R、Matlab等编程语言和工具；有Linux下的开发经验；4、较强的逻辑思维能力以及分析、解决问题的能力，较强的学习能力，能够紧跟技术发展的潮流；5、一定的英语能力，能够读懂英文的文献资料和技术文档；6、有自然语言处理项目经验者更佳。
['大数据开发工程师'],['2-4万/月'],['阅文集团'],['上市公司| 1000-5000人| 互联网/电子商务'],['上班地址 : 碧波路690号6号楼'],['上海-浦东新区'],['本科'],[],['1人'],['2019-02-22'],工作职责:负责大数据BI设计和开发；负责阅文日常数据统计分析；数据仓库、数据集市的模型设计与开发；负责ETL数据准确性验证及ETL任务的优化；参与大数据平台和数据仓库的的搭建。任职资格:熟悉大数据处理相关产品架构和技术（如Hadoop/Hive/HBase/Spark/Kafka/Storm/Flume等） ；熟悉数据仓库理论与技术，对ETL及BI有概念并具有丰富的实际操作经验，熟悉ETL开发流程； 熟悉BI项目，具有数据仓库、BI系统开发经验者优先；对mysql、oracle有丰富经验，有较强的数据库脚本编程能力，有较强的存储过程编写能力； 熟练操作linux系统，熟悉shell脚本或python；  有较强的逻辑思维能力，善于分析、归纳、快速定位并解决问题； 性格积极且沉稳，勤奋严谨，强烈的进取心、求知欲和团队合作精神。
['数据开发工程师'],['1-1.5万/月'],['上海启林投资管理有限公司'],['民营公司| 少于50人| 金融/投资/证券 计算机软件'],['上班地址 : 新地大厦A座1807'],['合肥-政务区'],['本科'],[],['2人'],['2019-02-22'],职责描述：1. 开发数据生产、管理流程和框架，监控数据实时性和准确性；2. 开发模型分析数据，为决策提供依据；3. 为策略开发搜集整理并清洗数据，评估类似数据有效性；4. 维护管理数据库，管理数据权限；5. 与公司各部门协调，开发构建数据链配合金融数据需求和结算。任职要求：1. 国内外名校计算机、电子、自动化等专业硕士毕业或自认有同等基本能力；2. 精通编程，熟悉 python 语言；3. 精通数据库操作和维护；4. 熟悉数据类统计模型和方法，熟悉数据清洗概念和方法；5. 掌握前端编程，了解数据展示方法；6. 喜欢挑战困难，有geek精神；有从蛛丝马迹发现问题并设计方案解决问题的 能力；有较强的跨学科学习和领悟能力。加分项1. 熟悉分布式数据管理和计算方法；2. 了解金融概念、金融结算方法；3. 具备编写爬虫的能力
[],[],[],[],[],[],[],[],[],[],
['大数据开发工程师'],['1.5-2万/月'],['西安德创人力资源咨询有限公司'],['民营公司| 少于50人| 专业服务(咨询、人力资源、财会)'],['上班地址 : 西安市高新区锦业路'],['西安'],['3-4年工作经验'],['本科'],['若干人'],['2019-02-22'],"职位描述1、负责大数据相关开发和Java相关研发工作；2、负责存储、查询、导入等相关模块的对接开发与维护；3、提升产品整体的运行效率与稳定性。4、系统维护、部署等支持工作4、其他领导分配工作职位要求1、有5年以上的 JAVA及2年以上Hadoop 及相关生态的应用与开发经验；2、对大数据方向感兴趣，乐于帮助业务实现数据驱动；3、计算机基础知识扎实，熟悉主流开发语言及操作系统原理，对分布式系统具有浓厚兴趣；4、熟练使用JAVA，spark, hivesql, hadoop,hbase等，对接触各种互联网技术有研究精神，5、熟练使用Linux常用命令和shell命令，Tomcat,nginx和Hadoop相关环境部署维护能力，.6、快速学习能力；主动性强。"
['大数据开发工程师'],['0.6-1.2万/月'],['湖南千盟物联信息技术有限公司'],['民营公司| 150-500人| 电子技术/半导体/集成电路 计算机软件'],['上班地址 : 麓谷大道627号新长海中心B3栋601'],['长沙-岳麓区'],['3-4年工作经验'],['本科'],['2人'],['2019-02-22'],岗位职责：1、负责公司大数据可视化及产品应用开发；2、负责公司大数据平台过程中设计文档撰写；3、参与项目组产品设计讨论，共同讨论和设计产品；4、完成技术难点的攻关以及大数据平台新技术调研；任职要求：1、全日制本科及以上学历，计算机、软件工程等相关专业；2、具有良好的软件开发流程，拥有软件开发流程中的代码规范意识、配置管理意识；2、有过Hadoop、MapReduce、Storm、Spark、Sqoop、HBase、Hive等主流大数据技术开发经验；3、熟练使用至少一门编程语言：Java/Python/Scala;4、熟练使用至少一种关系型数据库和SQL编写及调式：MSSQL/MySQL;一经录用，待遇从优！1、享周末双休和国家法定节假日；2、享工作餐补贴；3、享节日福利；4、享年终奖。5、公司注重栽培员工，提供开放、开明的事业平台。6、公司技术国内领先、持多项专利。有很好的研发氛围。
['大数据开发工程师'],['2-4万/月'],['上海虎宝网络科技有限公司'],['创业公司| 50-150人| 互联网/电子商务'],['上班地址 : 漕河泾开发区莘砖公路668号1101室'],['上海-松江区'],['3-4年工作经验'],['本科'],['1人'],['2019-02-22'],1、负责公司大数据整体方案的设计和规划，包括大数据应用平台的设计、搭建和持续优化；2、参与计算框架和服务的定制和改进，为公司在线实时计算能力提供技术支撑；3、基于业务需求和应用场景，设计和实现公司大数据相关产品；4、负责设计，开发，优化数据接入、数据存储、数据计算服务框架；5、负责优化分布式框架，解决大并发下的各种问题；6、为公司所有业务线提供数据支持和服务；7、负责前沿技术预研，指导和带教整个大数据开发团队。任职要求：1、全日制本士以上学历，计算机相关专业（分布式或大数据方向尤佳），3年以上工作经验；2、有从事分布式数据存储与计算平台应用开发经验，熟悉Hadoop生态相关技术并有相关开发经验，掌握Spark开发技术；3、较为丰富的数据平台的架构经验，精通数据建模理念和实战能力；有较为系统的海量数据性能处理经验，在数据开发及应用一定的成功经验；4、熟练掌握Hive、Spark、Flume、Kafka、HBase、Storm等Hadoop生态系统组件的使用；5、具备较扎实的理论基础和实践能力，具备一定的JAVA、Scala、Python语言的开发能力，具备机器学习算法能力尤佳；6、熟悉MySQL、Oracle数据库及Redis，MongoDB等NoSQL数据库的技术开发；7、有ETL开发经验者优先；8、良好的思维逻辑性、语言表达能力；加分项：    SpringCloud 微服务开发    大数据平台运维    爬虫开发
['大数据开发工程师（项目经理）'],['0.6-1万/月'],['南京弦歌信息技术有限公司'],['民营公司| 150-500人| 计算机软件'],['上班地址 : 人民路8号 陕西国防工业职业技术学院'],['西安-鄠邑区'],['3-4年工作经验'],['本科'],['1人'],['2019-02-22'],1、负责软件开发项目的管理工作，制定项目计划和控制项目进度；2、承担项目的业务梳理及相关设计工作；3、指导工程师的开发工作，发现并指出开发过程中存在的问题并提出解决方案；4、及时有效地解决设计、开发人员所提出的问题，解决技术上的难题；5、参与制定并规范项目的系统开发文档、工具、模型；6、参与软件需求与系统设计评审和代码检查。岗位要求：1、3年以上开发经验，其中2年以上大数据架构或相关工作经验，有实际相关管理经验者优先考虑；2、能够精确评估承担项目的作业规模，并从系统整体业务的高度理解设计开发方案；3.  熟悉Spark原理，Spark  Streaming 、SparkSQL 、Spark算子算法，做过相关开发；实际调整过spark性能问题，实际解决过数据倾斜问题。4.  熟悉Kafka原理，做过相关开发。5.  熟悉HBase数据库原理，RowKey设计原则，Hive数据库操作。6.  熟悉Java或Scala语言，Solr或ES原理，并有相关工作经验；拥有Redis集群操作经验。                                                                7、责任心强，具有独立担当能力，善于与他人沟通。
['大数据开发工程师'],['1-2万/月'],['上海摩莱信息科技有限公司'],['民营公司| 少于50人| 计算机软件 互联网/电子商务'],['上班地址 : 临新路268弄扬子江国际企业广场17号楼502-1'],['上海-长宁区'],['1年工作经验'],['大专'],['4人'],['2019-02-22'],"1：计算机相关专业,本科以上学历。至少1年以上大数据相关开发经验2：熟悉java，scala或者其他相关常用语言，扎实的代码基础，3；熟悉spark core/sql/streaming开发4：熟悉大数据的生态圈，熟悉相关组件。5：熟悉相关源码或者附上git或者博客地址。6：思维活跃，可以独立解决问题。"
['大数据开发项目经理'],['15-30万/年'],['义乌中国小商品城信息技术有限公司'],['国企| 50-150人| 计算机服务(系统、数据服务、维修) 互联网/电子商务'],['上班地址 : 义乌'],['义乌'],[],[],['1人'],['2019-02-22'],1、基于业务需求和应用场景，设计和实现公司大数据相关产品；2、负责大数据平台架构规划、设计与实施；3、组织、协调、管理推进大数据开发项目，对项目结果负责；4、为公司业务和经营决策提供数据支持和服务；5、对公司大数据产品质量和效果负责。职位要求：1、本科及以上学历，计算机类相关专业；2、3年以上大数据项目开发或项目管理经验；3、具有独立完成从方案选型设计到原型系统开发实现的能力；4、有较好的团队管理和沟通能力，较强的责任心和事业心；                                            5、有淘宝、阿里、京东、亚马孙等大型电商平台开发从业经验优先。
['大数据开发工程师'],['0.8-1万/月'],['安徽康嘉乐健康产业有限公司'],['民营公司| 50-150人| 医疗/护理/卫生 多元化业务集团公司'],['上班地址 : 经开区经典广场8层'],['合肥-经开区'],['2年工作经验'],['本科'],['1人'],['2019-02-22'],"岗位职责1、参与大规模数据快速查询系统的架构设计和开发；2、大规模数据挖掘和机器学习算法的实现；3、在线和离线海量数据分析平台的开发；4、研究大数据前沿技术，提升系统的运维效率；5、实现大数据基础架构平台的自动化运维。任职资格1、计算机相关专业,具有3年以上大数据开发经验，熟悉Java,Linux；2、熟悉Hadoop大数据处理系统的开发,搭建及部署者优先；3、熟练地处理数据模型、数据ETL以及存储管理；4、熟悉HDFS/Hive/MapReduce/Kylin/HBase，能独自进行Mapreduce程序开发者优先；5、熟悉分布式系统概念、架构，有大规模分布式系统设计、实现、部署等经验；6、有较强的书面与口头沟通表达能力，独立分析、解决问题的能力。"
['大数据开发工程师'],['3-4万/月'],['鱼酷餐饮连锁管理有限公司'],['民营公司| 1000-5000人| 餐饮业'],['上班地址 : 上海徐汇区田林路200号华鑫天地A1座8楼'],['上海'],['5-7年工作经验'],['本科'],['1人'],['2019-02-22'],"岗位职责：1、负责大数据平台框架的技术选型和搭建，支撑公司不同业务线对数据平台的需求2、负责建设高可靠性，扩展性及高性能大数据/数据应用平台3、负责规划数据挖掘的整体流程，并参与产品和数据产品的决策4、与其他团队密切配合，寻求数据层面的业务价值，利用数据分析结论推动产品优化5、研究和分享大数据架构领域新技术，挖掘大数据平台的价值，拓展其应用空间, 驱动业务的发展6、负责各产品运营数据仓库建设，构建基于海量数据用户画像体系和特征工程任职要求：1、本科或以上学历，5年以上工作经验，熟悉MySQL、Oracle、SQL  Server等数据库开发及设计2、具有较强的数据挖掘，对数字，数据敏感，具备良好的逻辑思维能力，能够从海量数据中发现有价值的规律3、有良好的团队合作和沟通表达能力, 较强项目推动力薪资福利：1、购买五险一金、带薪年假、定期体检，年终双薪、员工旅游、节日福利、尾牙年会2、做五休二（朝九晚六）、周末双休                                                                            如有意向者可咨询HR，联系人：孟经理，联系电话：18918543755"
['大数据开发工程师'],['0.8-1万/月'],['济南瀚盟网络技术有限公司'],['事业单位| 50-150人| 计算机软件 计算机服务(系统、数据服务、维修)'],['上班地址 : 济南市高新区'],['济南'],['3-4年工作经验'],['本科'],['12人'],['2019-02-22'],1、熟悉数据库原理和设计。2、计算机软件、电子信息科学与技术或相关专业本科及以上学历。3、对计算机专业有浓厚的兴趣，良好的沟通能力与团队精神，吃苦耐劳。4、有较强的学习能力和分析能力，思维敏捷、有较强的责任感和进取心。5、身体健康6、协助承担架构性的体系设计和改造工作、配合制定技术实施方案、按照总体设计组织子系统的设计和开发。
['大数据开发工程师'],['0.8-1.5万/月'],['中国软件与技术服务股份有限公司'],['上市公司| 5000-10000人| 计算机软件 计算机服务(系统、数据服务、维修)'],['上班地址 : 昌盛路18号'],['北京-昌平区'],['本科'],[],['2人'],['2019-02-22'],"1.负责或参与数据集成、挖掘，应用OLAP多维分析等数据产品的架构设计和研发；2.针对现有的实际问题和痛点,调研对应解决方案的新技术；3.推进实施负责基于开源分布式计算、分布式存储平台的二次开发，例如Hadoop、Spark、hive等。任职资格1.计算机或相关专业硕士及以上学历；2.熟悉Linux/Unix平台上的Python、Java语言编程；3.熟悉常用脚本语言,善于学习新的知识，对解决具有挑战性问题充满激情；4.计算机相关专业，大数据领域研发经验，具有扎实的数据分析理论和技术基础熟悉大数据技术如Hadoop、Hive、HBase、Pig、OpenStackSwift、Storm、JStorm、Spark中至少两种具有以下条件者优先；5.有大型分布式系统设计和研发经验者优先；熟悉OLAP引擎者的设计和开发者优先熟悉机器学习，有数据挖掘和深度数据分析者优先；6.熟悉Openstack/CloudStack/EC2/Cloudfoundry；XEN/KVM/Vmware系列软件，熟悉云计算产品。"
['大数据开发工程师（校园招聘）'],['1.5-2.5万/月'],['山大地纬软件股份有限公司'],['国企| 1000-5000人| 计算机软件 计算机服务(系统、数据服务、维修)'],['上班地址 : 港兴一路300号'],['济南-高新区'],['无工作经验'],['硕士'],['3人'],['2019-02-22'],岗位职责：1、依据客户需求完成大数据项目的数据分析及建模；2、进行大数据核心算法的编写；3、参与项目的需求分析、系统设计、编码、项目内测试及相关文档编写工作；4、参与开发过程中相关新技术的研究和验证。任职要求：1、数学相关专业，本科及以上学历；对大数据方面工作有兴趣，学习能力强；2、具备综合分析和解决问题能力；有良好的学习和理解能力，能够较快了解和掌握新知识；3、具备较强的沟通能力；有良好的团队协作能力；4、有数学建模方面经验或获奖经历者优先。
['大数据开发工程师'],['1.5-2.5万/月'],['北京博艺网讯科技有限公司'],['民营公司| 50-150人| 计算机软件 计算机硬件'],['上班地址 : 武汉市东湖高新区光谷大道金融港B区B17-803室'],['武汉'],['3-4年工作经验'],['本科'],['1人'],['2019-02-22'],"3年以上JAVA开发经验。1、负责大数据项目分析方法和大数据解决方案的研究；2、针对需求提供大数据分析技术解决方案；3、参与大数据项目开发，包括架构设计、编程开发等工作；4、根据业务需要，跟踪大数据技术领域趋势并能结合实际业务应用。5、负责平台大数据通用平台建设，数据分析性能优化， 业务分析模型代码编写。任职要求;1、本科及以上学历，精通Java语言，3年以上大数据应用系统的开发和设计经验；2、精通Java开发，深刻理解J2EE规范和相关技术，精通大数据技术（hadoop、hdfs、hive、spark、pig、nosql、hbase、flume、kafka、ElasticSearch、solr），3年以上基于Hadoop/Hbase/Hive等应用开发经验，对分布式计算有较为深刻的理解；3、熟悉linux操作系统，包括Shell/Python等脚本编码和软件开发等，有海量数据的分析能力和处理优化过程的经验；4、熟练使用MySQL、Oracle等数据库，并具有一定的SQL优化能力；熟悉Memcached、Redis等常用NoSQL解决方案、了解各自的优缺点以及使用场景者优先；5、熟悉Jetty, Tomcat等应用服务器的部署和配置；6、有Hadoop运维与调优经验的优先；7、较好的沟通能力；"
